cellType	gene
Astrocytes_ENCODE_2	HIST1H1D
Astrocytes_ENCODE_2	TNC
Astrocytes_ENCODE_2	KIFC1
Astrocytes_ENCODE_2	LOXL1
Astrocytes_ENCODE_2	MCM3
Astrocytes_ENCODE_2	POU3F3
Astrocytes_ENCODE_2	PTN
Astrocytes_ENCODE_2	SCN5A
Astrocytes_ENCODE_2	SDC2
Astrocytes_ENCODE_2	STAC
Astrocytes_ENCODE_2	TFAP2C
Astrocytes_ENCODE_2	TRO
Astrocytes_ENCODE_2	XRCC2
Astrocytes_ENCODE_2	ADAM12
Astrocytes_ENCODE_2	DPF3
Astrocytes_ENCODE_2	ST8SIA2
Astrocytes_ENCODE_2	ZNF239
Astrocytes_ENCODE_2	DCHS1
Astrocytes_ENCODE_2	RECQL4
Astrocytes_ENCODE_2	REC8
Astrocytes_ENCODE_2	TRIOBP
Astrocytes_ENCODE_2	CAND2
Astrocytes_ENCODE_2	FBXL7
Astrocytes_ENCODE_2	DAPK2
Astrocytes_ENCODE_2	RIBC2
Astrocytes_ENCODE_2	FAM64A
Astrocytes_ENCODE_2	PNMAL1
Astrocytes_ENCODE_2	ASAP3
Astrocytes_ENCODE_2	DOK5
Astrocytes_ENCODE_2	GABRQ
Astrocytes_ENCODE_2	AGPAT4
Astrocytes_ENCODE_2	NT5DC2
Astrocytes_ENCODE_2	TMEM135
Astrocytes_ENCODE_2	FSD1
Astrocytes_ENCODE_2	ACSS3
Astrocytes_ENCODE_2	ATF7IP2
Astrocytes_ENCODE_2	TRIM45
Astrocytes_ENCODE_2	MXD3
Astrocytes_ENCODE_2	GINS4
Astrocytes_ENCODE_2	PSRC1
Astrocytes_ENCODE_2	CBX2
Astrocytes_ENCODE_2	H2AFV
Astrocytes_ENCODE_2	OLFML2A
Astrocytes_ENCODE_3	CNN1
Astrocytes_ENCODE_3	COL11A1
Astrocytes_ENCODE_3	FABP7
Astrocytes_ENCODE_3	FZD2
Astrocytes_ENCODE_3	GNG3
Astrocytes_ENCODE_3	TNC
Astrocytes_ENCODE_3	LRP4
Astrocytes_ENCODE_3	POU3F3
Astrocytes_ENCODE_3	PTN
Astrocytes_ENCODE_3	ADAM12
Astrocytes_ENCODE_3	DPF3
Astrocytes_ENCODE_3	DAPK2
Astrocytes_ENCODE_3	ANKRD1
Astrocytes_ENCODE_3	PNMAL1
Astrocytes_ENCODE_3	ASAP3
Astrocytes_ENCODE_3	DOK5
Astrocytes_ENCODE_3	GABRQ
Astrocytes_ENCODE_3	AGPAT4
Astrocytes_ENCODE_3	PSRC1
Astrocytes_ENCODE_3	OLFML2A
Astrocytes_FANTOM_1	ACTA2
Astrocytes_FANTOM_1	ACTG2
Astrocytes_FANTOM_1	APLP1
Astrocytes_FANTOM_1	BGN
Astrocytes_FANTOM_1	BST1
Astrocytes_FANTOM_1	C1S
Astrocytes_FANTOM_1	SERPINH1
Astrocytes_FANTOM_1	CDH6
Astrocytes_FANTOM_1	CDH11
Astrocytes_FANTOM_1	CHN1
Astrocytes_FANTOM_1	CLU
Astrocytes_FANTOM_1	CNN1
Astrocytes_FANTOM_1	COL1A1
Astrocytes_FANTOM_1	COL1A2
Astrocytes_FANTOM_1	COL3A1
Astrocytes_FANTOM_1	COL5A1
Astrocytes_FANTOM_1	COL5A2
Astrocytes_FANTOM_1	COL6A1
Astrocytes_FANTOM_1	COL6A2
Astrocytes_FANTOM_1	COL6A3
Astrocytes_FANTOM_1	COL8A2
Astrocytes_FANTOM_1	COL13A1
Astrocytes_FANTOM_1	CRABP2
Astrocytes_FANTOM_1	VCAN
Astrocytes_FANTOM_1	DCN
Astrocytes_FANTOM_1	DIO2
Astrocytes_FANTOM_1	DPYSL3
Astrocytes_FANTOM_1	DUSP2
Astrocytes_FANTOM_1	FAP
Astrocytes_FANTOM_1	FBLN2
Astrocytes_FANTOM_1	FBN1
Astrocytes_FANTOM_1	FGFR1
Astrocytes_FANTOM_1	FGG
Astrocytes_FANTOM_1	FLNC
Astrocytes_FANTOM_1	FN1
Astrocytes_FANTOM_1	FZD2
Astrocytes_FANTOM_1	GATA6
Astrocytes_FANTOM_1	GBP2
Astrocytes_FANTOM_1	GEM
Astrocytes_FANTOM_1	GNG11
Astrocytes_FANTOM_1	CFH
Astrocytes_FANTOM_1	HOXB2
Astrocytes_FANTOM_1	CFI
Astrocytes_FANTOM_1	IGFBP2
Astrocytes_FANTOM_1	IGFBP3
Astrocytes_FANTOM_1	IGFBP5
Astrocytes_FANTOM_1	IGFBP6
Astrocytes_FANTOM_1	ITGA7
Astrocytes_FANTOM_1	AFF3
Astrocytes_FANTOM_1	LAMA4
Astrocytes_FANTOM_1	LIF
Astrocytes_FANTOM_1	LOX
Astrocytes_FANTOM_1	LOXL1
Astrocytes_FANTOM_1	LUM
Astrocytes_FANTOM_1	MAP1A
Astrocytes_FANTOM_1	MATN2
Astrocytes_FANTOM_1	MDK
Astrocytes_FANTOM_1	MEST
Astrocytes_FANTOM_1	MFAP4
Astrocytes_FANTOM_1	MGP
Astrocytes_FANTOM_1	MMP2
Astrocytes_FANTOM_1	MN1
Astrocytes_FANTOM_1	MYLK
Astrocytes_FANTOM_1	NAP1L3
Astrocytes_FANTOM_1	CLDN11
Astrocytes_FANTOM_1	OXTR
Astrocytes_FANTOM_1	PALM
Astrocytes_FANTOM_1	PAX6
Astrocytes_FANTOM_1	PCOLCE
Astrocytes_FANTOM_1	PDGFRA
Astrocytes_FANTOM_1	PDGFRB
Astrocytes_FANTOM_1	SERPINF1
Astrocytes_FANTOM_1	PLN
Astrocytes_FANTOM_1	PPP1R3C
Astrocytes_FANTOM_1	PTGIS
Astrocytes_FANTOM_1	PTN
Astrocytes_FANTOM_1	PTPRN
Astrocytes_FANTOM_1	RARB
Astrocytes_FANTOM_1	RARRES1
Astrocytes_FANTOM_1	RARRES2
Astrocytes_FANTOM_1	RGS4
Astrocytes_FANTOM_1	CCL2
Astrocytes_FANTOM_1	CXCL12
Astrocytes_FANTOM_1	SFRP4
Astrocytes_FANTOM_1	SLC14A1
Astrocytes_FANTOM_1	SPARC
Astrocytes_FANTOM_1	TAGLN
Astrocytes_FANTOM_1	NR2F1
Astrocytes_FANTOM_1	TFPI
Astrocytes_FANTOM_1	TGM2
Astrocytes_FANTOM_1	THY1
Astrocytes_FANTOM_1	TIMP1
Astrocytes_FANTOM_1	TIMP2
Astrocytes_FANTOM_1	TNS1
Astrocytes_FANTOM_1	TPM1
Astrocytes_FANTOM_1	TPM2
Astrocytes_FANTOM_1	TNFSF4
Astrocytes_FANTOM_1	UCHL1
Astrocytes_FANTOM_1	VCAM1
Astrocytes_FANTOM_1	WNT5A
Astrocytes_FANTOM_1	ADAM12
Astrocytes_FANTOM_1	MFAP5
Astrocytes_FANTOM_1	FZD7
Astrocytes_FANTOM_1	RGS5
Astrocytes_FANTOM_1	PDE5A
Astrocytes_FANTOM_1	ADAM19
Astrocytes_FANTOM_1	CACNA1H
Astrocytes_FANTOM_1	DIRAS3
Astrocytes_FANTOM_1	CRLF1
Astrocytes_FANTOM_1	DHRS3
Astrocytes_FANTOM_1	ADAMTS2
Astrocytes_FANTOM_1	SEMA3E
Astrocytes_FANTOM_1	HEPH
Astrocytes_FANTOM_1	MRC2
Astrocytes_FANTOM_1	GFPT2
Astrocytes_FANTOM_1	HS3ST3A1
Astrocytes_FANTOM_1	EDIL3
Astrocytes_FANTOM_1	LRRC17
Astrocytes_FANTOM_1	BTN3A3
Astrocytes_FANTOM_1	MYL9
Astrocytes_FANTOM_1	SPON2
Astrocytes_FANTOM_1	POSTN
Astrocytes_FANTOM_1	NES
Astrocytes_FANTOM_1	GLIPR1
Astrocytes_FANTOM_1	PADI2
Astrocytes_FANTOM_1	FILIP1L
Astrocytes_FANTOM_1	SYNPO
Astrocytes_FANTOM_1	NID2
Astrocytes_FANTOM_1	NFASC
Astrocytes_FANTOM_1	SULF1
Astrocytes_FANTOM_1	MXRA5
Astrocytes_FANTOM_1	MOXD1
Astrocytes_FANTOM_1	PCOLCE2
Astrocytes_FANTOM_1	GREM1
Astrocytes_FANTOM_1	ANKRD1
Astrocytes_FANTOM_1	SRPX2
Astrocytes_FANTOM_1	EFEMP2
Astrocytes_FANTOM_1	CPA4
Astrocytes_FANTOM_1	COPZ2
Astrocytes_FANTOM_1	SLC22A17
Astrocytes_FANTOM_1	DACT1
Astrocytes_FANTOM_1	TRPV2
Astrocytes_FANTOM_1	SCARA3
Astrocytes_FANTOM_1	MXRA8
Astrocytes_FANTOM_1	SYTL2
Astrocytes_FANTOM_1	PNMAL1
Astrocytes_FANTOM_1	MEG3
Astrocytes_FANTOM_1	OLFML3
Astrocytes_FANTOM_1	RCN3
Astrocytes_FANTOM_1	FKBP10
Astrocytes_FANTOM_1	CLSTN2
Astrocytes_FANTOM_1	XYLT1
Astrocytes_FANTOM_1	C9orf16
Astrocytes_FANTOM_1	GLT8D2
Astrocytes_FANTOM_1	SLC12A8
Astrocytes_FANTOM_1	CREB3L1
Astrocytes_FANTOM_1	CHRDL1
Astrocytes_FANTOM_1	LYPD1
Astrocytes_FANTOM_1	ZCCHC24
Astrocytes_FANTOM_2	ACTA2
Astrocytes_FANTOM_2	ACTG2
Astrocytes_FANTOM_2	BGN
Astrocytes_FANTOM_2	CNN1
Astrocytes_FANTOM_2	COL1A1
Astrocytes_FANTOM_2	COL1A2
Astrocytes_FANTOM_2	COL3A1
Astrocytes_FANTOM_2	COL5A1
Astrocytes_FANTOM_2	COL6A1
Astrocytes_FANTOM_2	COL6A2
Astrocytes_FANTOM_2	COL8A2
Astrocytes_FANTOM_2	VCAN
Astrocytes_FANTOM_2	DIO2
Astrocytes_FANTOM_2	DPYSL3
Astrocytes_FANTOM_2	FBLN2
Astrocytes_FANTOM_2	FGG
Astrocytes_FANTOM_2	FLNC
Astrocytes_FANTOM_2	FN1
Astrocytes_FANTOM_2	CFH
Astrocytes_FANTOM_2	HOXB2
Astrocytes_FANTOM_2	CFI
Astrocytes_FANTOM_2	IGFBP2
Astrocytes_FANTOM_2	IGFBP3
Astrocytes_FANTOM_2	IGFBP5
Astrocytes_FANTOM_2	LAMA4
Astrocytes_FANTOM_2	LOXL1
Astrocytes_FANTOM_2	LUM
Astrocytes_FANTOM_2	MEST
Astrocytes_FANTOM_2	MFAP4
Astrocytes_FANTOM_2	MGP
Astrocytes_FANTOM_2	MYLK
Astrocytes_FANTOM_2	OXTR
Astrocytes_FANTOM_2	PCOLCE
Astrocytes_FANTOM_2	PDGFRA
Astrocytes_FANTOM_2	PDGFRB
Astrocytes_FANTOM_2	PLN
